Region,Country,ISO,N,Est,LI,UI,Date,Notes
South Asia,Afghanistan,AF,NA,NA,NA,NA,2006,
South Asia,Afghanistan,AF,83,0.06,NA,NA,2011,
South Asia,Afghanistan,AF,332,0.032,NA,NA,2006,
South Asia,Afghanistan,AF,96,0.00001,NA,NA,2006,
South Asia,Afghanistan,AF,187,0.00001,NA,NA,2006,
South Asia,Afghanistan,AF,483,0.021,0.01,0.038,2008,
South Asia,Afghanistan,AF,158,0.184,NA,NA,2009,
South Asia,Afghanistan,AF,288,0.031,NA,NA,2009,
South Asia,Afghanistan,AF,102,0.01,NA,NA,2009,
South Asia,Afghanistan,AF,369,0.024,NA,NA,2012,
South Asia,Afghanistan,AF,185,0.133,NA,NA,2012,
South Asia,Afghanistan,AF,254,0.003,NA,NA,2012,
South Asia,Afghanistan,AF,236,0.01,NA,NA,2012,
South Asia,Afghanistan,AF,117,0.009,NA,NA,2012,
South Asia,Afghanistan,AF,31,0.00001,NA,NA,2006,
South Asia,Afghanistan,AF,45,0.00001,NA,NA,2006,
South Asia,Afghanistan,AF,96,1.00E-06,NA,NA,2010,
South Asia,Afghanistan,AF,187,1.00E-06,NA,NA,2010,
South Asia,Afghanistan,AF,31,1.00E-06,NA,NA,2008,
South Asia,Afghanistan,AF,45,1.00E-06,NA,NA,2008,
Western Europe,Albania,AL,NA,NA,NA,NA,2008,
Western Europe,Albania,AL,200,0.005,NA,NA,2011,
Middle East and North Africa,Algeria,DZ,95,0.011,NA,NA,2014,
Eastern Europe,Armenia,AM,263,0.107,0.058,0.167,2010,
Eastern Europe,Armenia,AM,40,0.00001,0.00001,0.00001,2010,
Eastern Europe,Armenia,AM,40,0.089,0.00001,0.393,2010,
Eastern Europe,Armenia,AM,NA,NA,NA,NA,2010,
Eastern Europe,Armenia,AM,300,0.08,0.038,0.112,2012,
Eastern Europe,Armenia,AM,50,0.023,0.00001,0.039,2012,
Eastern Europe,Armenia,AM,50,0.042,0.00001,0.122,2012,
Eastern Europe,Armenia,AM,40,1.00E-06,1.00E-06,1.00E-06,2011,
Australasia,Australia,AU,NA,NA,NA,NA,2008,
Australasia,Australia,AU,208,0.04,NA,NA,2005,
Australasia,Australia,AU,352,0.01,NA,NA,2006,
Australasia,Australia,AU,2170,0.015,NA,NA,2008,
Australasia,Australia,AU,2657,0.012,NA,NA,2009,
Australasia,Australia,AU,2352,0.01,NA,NA,2010,
Australasia,Australia,AU,2337,0.012,NA,NA,2011,
Australasia,Australia,AU,2279,0.012,NA,NA,2012,
Australasia,Australia,AU,2307,0.021,NA,NA,2013,
Australasia,Australia,AU,2273,0.017,NA,NA,2014,
Australasia,Australia,AU,26,0.00001,NA,NA,2008,
Australasia,Australia,AU,58,0.00001,NA,NA,2009,
Australasia,Australia,AU,97,0.00001,NA,NA,2010,
Australasia,Australia,AU,95,0.00001,NA,NA,2011,
Australasia,Australia,AU,78,0.00001,NA,NA,2012,
Australasia,Australia,AU,100,0.00001,NA,NA,2013,
Australasia,Australia,AU,96,0.00001,NA,NA,2014,
Australasia,Australia,AU,860,0.021,NA,NA,2008,
Australasia,Australia,AU,816,0.016,NA,NA,2009,
Australasia,Australia,AU,671,0.012,NA,NA,2010,
Australasia,Australia,AU,682,0.01,NA,NA,2011,
Australasia,Australia,AU,697,0.012,NA,NA,2012,
Australasia,Australia,AU,665,0.032,NA,NA,2013,
Australasia,Australia,AU,714,0.025,NA,NA,2014,
Australasia,Australia,AU,70,0.00001,NA,NA,2014,
Australasia,Australia,AU,66,0.03,NA,NA,2013,
Australasia,Australia,AU,46,0.022,NA,NA,2012,
Australasia,Australia,AU,68,0.015,NA,NA,2011,
Australasia,Australia,AU,76,0.00001,NA,NA,2009,
Australasia,Australia,AU,73,0.014,NA,NA,2008,
Australasia,Australia,AU,498,0.018,NA,NA,2008,
Australasia,Australia,AU,795,0.013,NA,NA,2009,
Australasia,Australia,AU,535,0.021,NA,NA,2010,
Australasia,Australia,AU,528,0.015,NA,NA,2011,
Australasia,Australia,AU,570,0.016,NA,NA,2012,
Australasia,Australia,AU,533,0.013,NA,NA,2013,
Australasia,Australia,AU,481,0.023,NA,NA,2014,
Australasia,Australia,AU,189,0.00001,NA,NA,2008,
Australasia,Australia,AU,246,0.012,NA,NA,2009,
