SuperRegion,Region,ISO,Est,LI,UI,Date,Notes
Central Europe Eastern Europe and Central Asia,Western Europe,AL,7.22E-05,2.51E-05,0.0001566,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,AM,0.0002277,0.000161,0.0003344,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,AZ,0.0002568,0.0001676,0.0003726,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,BY,0.0009235,0.0006657,0.0013414,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,BG,5.80E-05,4.33E-05,7.58E-05,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,EE,0.00059,0.00039,0.00079,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,GE,0.0007937,0.0004279,0.0015206,2018,
Central Europe Eastern Europe and Central Asia,Central Asia,KG,0.000528,0.00039,0.00079,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,LV,0.000579,0.0003425,0.000822,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,LT,0.0002225,0.0001808,0.0002737,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,MD,0.00125518,0.000976,0.001679,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,PL,0.00059,0.00039,0.00079,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,RO,0.0006759,0.0006216,0.000745,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,RU,0.00059,0.00039,0.00079,2018,
Central Europe Eastern Europe and Central Asia,Western Europe,SI,1.00E-04,4.00E-05,0.00016,2018,
Central Europe Eastern Europe and Central Asia,Central Asia,TJ,0.0003781,0.0003041,0.0005464,2018,
Central Europe Eastern Europe and Central Asia,Eastern Europe,UA,0.0015734,0.0012688,0.0019234,2018,
Central Europe Eastern Europe and Central Asia,Central Asia,UZ,0.0004442,0.0003813,0.0005112,2018,
High_income,Australasia,AU,6.34E-05,3.82E-05,9.46E-05,2018,
High_income,Western Europe,AT,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,BE,1.00E-04,4.00E-05,0.00016,2018,
High_income,North America,CA,0.0002341,0.0001708,0.0003036,2018,
High_income,Western Europe,DK,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,FI,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,FR,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,DE,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,GR,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,IT,0.0001772,5.49E-05,0.000408,2018,
High_income,Western Europe,LU,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,MT,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,NL,9.28E-05,6.73E-05,0.0001277,2018,
High_income,Western Europe,NO,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,PT,1.00E-04,4.00E-05,0.00016,2018,
High_income,Western Europe,ES,0.0001533,0.0001247,0.0001936,2018,
High_income,Western Europe,GB,1.00E-04,4.00E-05,0.00016,2018,
High_income,North America,US,0.0002341,0.0001708,0.0003036,2018,
High_income,Latin America,UY,0.00041,0.00032,0.00051,2018,
Latin America and Caribbean,Latin America,CO,0.0008022,0.000604,0.0010168,2018,
Latin America and Caribbean,Latin America,MX,0.00041,0.00032,0.00051,2018,
Latin America and Caribbean,Latin America,NI,0.0003106,0.0002202,0.0004217,2018,
Latin America and Caribbean,Caribbean,PR,0.0005076,0.0003814,0.0006495,2018,
Middle East and North Africa,Middle East and North Africa,DZ,0.0001803,6.23E-05,0.0003053,2018,
Middle East and North Africa,Middle East and North Africa,BH,0.00015,7.00E-05,0.00023,2018,
Middle East and North Africa,Middle East and North Africa,CY,0.00015,7.00E-05,0.00023,2018,
Middle East and North Africa,Middle East and North Africa,LY,0.0002832,0.0001947,0.0003732,2018,
Middle East and North Africa,Middle East and North Africa,MA,0.0003411,0.0002598,0.0004587,2018,
Middle East and North Africa,Middle East and North Africa,SA,0.00015,7.00E-05,0.00023,2018,
Middle East and North Africa,Middle East and North Africa,TN,0.0001199,7.11E-05,0.0001797,2018,
North Africa and Middle East,South Asia,AF,0.0001209,4.22E-05,0.0004121,2018,
North Africa and Middle East,South Asia,IR,0.0001823,7.65E-05,0.0004512,2018,
South Asia,South Asia,BD,0.00018,4.00E-05,0.00032,2018,
South Asia,South Asia,IN,0.00018,4.00E-05,0.00032,2018,
South Asia,South Asia,NP,0.0001916,0.0001614,0.0002455,2018,
South Asia,South Asia,PK,0.0003139,0.0002635,0.0003966,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,KH,0.0014017,0.0012254,0.0016535,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,CN,0.00081,0.00059,0.00104,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,ID,0.00081,0.00059,0.00104,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,LA,0.0010623,0.0008677,0.0013257,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,MY,0.0003262,0.0002791,0.0003847,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,MM,0.0033143,0.002733,0.0041174,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,PH,0.0001605,0.0001225,0.0002091,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,TW,0.00081,0.00059,0.00104,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,TH,0.0020679,0.0016803,0.0025435,2018,
Southeast Asia East Asia and Oceania,East and South East Asia,VN,0.0004184,0.0003495,0.0005556,2018,
Sub_Saharan Africa,Sub Saharan Africa,BJ,0.00434185,0.0018744,0.0085323,2018,
Sub_Saharan Africa,Sub Saharan Africa,CD,0.0050816,0.0025415,0.0077662,2018,
Sub_Saharan Africa,Sub Saharan Africa,CI,0.0113924,0.0064634,0.0163799,2018,
Sub_Saharan Africa,Sub Saharan Africa,KE,0.0250255,0.014659,0.0351963,2018,
